"Dataset","Species","Forced.Fire","Forced.No.Fire","Forced.Simpler.Mod","Discard.Later","One.Top.Mod","Join"
"2","LIBO","NA","No","NA","NA","No","2.LIBO"
"2","MANE","NA","No","NA","NA","No","2.MANE"
"2","MEFE","NA","No","NA","NA","No","2.MEFE"
"2","OPHO","NA","No","NA","NA","Yes","2.OPHO"
"2","PAMY","No","NA","NA","NA","Yes","2.PAMY"
"2","POMU","NA","No","NA","NA","No","2.POMU"
"2","PTAQ","NA","No","NA","NA","No","2.PTAQ"
"2","RULA","NA","No","NA","NA","No","2.RULA"
"2","RUPA","NA","No","NA","NA","No","2.RUPA"
"2","RUPE","NA","No","NA","NA","No","2.RUPE"
"2","RUSP","NA","No","NA","NA","No","2.RUSP"
"2","SOSI","NA","No","NA","NA","No","2.SOSI"
"2","SPBE","NA","Yes","NA","NA","No","2.SPBE"
"2","TITR","NA","No","NA","NA","No","2.TITR"
"2","TRBO","NA","No","NA","NA","No","2.TRBO"
"2","VAME","No","NA","Yes","NA","Yes","2.VAME"
"2","VASI","NA","No","NA","NA","No","2.VASI"
"3","ACCI","NA","No","NA","NA","No","3.ACCI"
"3","ACGL","NA","No","NA","NA","No","3.ACGL"
"3","ACMI","No","NA","NA","NA","No","3.ACMI"
"3","AMAL","NA","No","NA","NA","No","3.AMAL"
"3","ARUV","No","NA","NA","NA","No","3.ARUV"
"3","ATFI","NA","No","NA","NA","No","3.ATFI"
"3","CAME","NA","No","NA","NA","No","3.CAME"
"3","CARU","No","NA","NA","NA","Yes","3.CARU"
"3","CEVE","No","NA","NA","NA","No","3.CEVE"
"3","CHUM","NA","No","NA","NA","No","3.CHUM"
"3","CLUN","NA","No","NA","NA","No","3.CLUN"
"3","COCA","NA","No","NA","NA","No","3.COCA"
"3","EPAN","No","NA","NA","NA","No","3.EPAN"
"3","GAOV","NA","No","NA","Yes","NA","3.GAOV"
"3","GASH","NA","No","NA","NA","No","3.GASH"
"3","GOOB","NA","No","NA","NA","No","3.GOOB"
"3","GYDR","NA","No","NA","NA","No","3.GYDR"
"3","HIAL","NA","No","NA","NA","No","3.HIAL"
"3","HODI","NA","No","Yes","NA","No","3.HODI"
"3","LIBO","NA","No","NA","NA","No","3.LIBO"
"3","MANE","NA","No","NA","NA","No","3.MANE"
"3","MEFE","NA","No","NA","NA","No","3.MEFE"
"3","OPHO","NA","No","NA","NA","No","3.OPHO"
"3","PAMY","No","NA","NA","NA","Yes","3.PAMY"
"3","POMU","NA","No","NA","NA","No","3.POMU"
"3","PTAQ","NA","No","NA","NA","No","3.PTAQ"
"3","RULA","NA","No","NA","NA","No","3.RULA"
"3","RUPA","NA","No","NA","NA","No","3.RUPA"
"3","RUPE","NA","No","NA","NA","No","3.RUPE"
"3","RUSP","NA","No","NA","NA","No","3.RUSP"
"3","SOSI","NA","No","NA","NA","No","3.SOSI"
"3","SPBE","NA","Yes","NA","NA","No","3.SPBE"
"3","TITR","NA","No","NA","NA","No","3.TITR"
"3","TRBO","NA","No","NA","NA","No","3.TRBO"
"3","VAME","No","NA","Yes","NA","Yes","3.VAME"
"3","VASI","NA","No","NA","NA","No","3.VASI"
"4","ACCI","NA","No","NA","NA","No","4.ACCI"
"4","ACGL","NA","No","NA","NA","No","4.ACGL"
"4","ACMI","No","NA","NA","NA","No","4.ACMI"
"4","AMAL","NA","Yes","NA","NA","No","4.AMAL"
"4","ARUV","No","NA","NA","NA","No","4.ARUV"
"4","ATFI","NA","No","NA","NA","No","4.ATFI"
"4","CAME","NA","No","NA","Yes","NA","4.CAME"
"4","CARU","No","NA","NA","NA","Yes","4.CARU"
"4","CEVE","No","NA","NA","NA","Yes","4.CEVE"
"4","CHUM","NA","No","NA","NA","No","4.CHUM"
"4","CLUN","NA","No","NA","NA","No","4.CLUN"
"4","COCA","NA","No","NA","NA","No","4.COCA"
"4","EPAN","No","NA","NA","NA","Yes","4.EPAN"
"4","GAOV","NA","No","NA","NA","No","4.GAOV"
"4","GASH","NA","No","NA","NA","No","4.GASH"
"4","GOOB","NA","No","NA","NA","No","4.GOOB"
"4","GYDR","NA","No","NA","NA","No","4.GYDR"
"4","HIAL","NA","No","NA","NA","No","4.HIAL"
"4","HODI","NA","No","Yes","NA","No","4.HODI"
"4","LIBO","NA","No","NA","NA","No","4.LIBO"
"4","MANE","NA","No","NA","NA","No","4.MANE"
"4","MEFE","NA","No","NA","NA","No","4.MEFE"
"4","OPHO","NA","No","NA","NA","No","4.OPHO"
"4","PAMY","No","NA","NA","NA","Yes","4.PAMY"
"4","POMU","NA","No","NA","NA","No","4.POMU"
"4","PTAQ","NA","No","NA","NA","No","4.PTAQ"
"4","RULA","NA","No","NA","NA","No","4.RULA"
"4","RUPA","NA","No","NA","NA","No","4.RUPA"
"4","RUPE","NA","No","NA","NA","No","4.RUPE"
"4","RUSP","NA","No","NA","NA","No","4.RUSP"
"4","SOSI","NA","No","NA","NA","No","4.SOSI"
"4","SPBE","NA","Yes","NA","NA","No","4.SPBE"
"4","TITR","NA","No","NA","NA","No","4.TITR"
"4","TRBO","NA","No","NA","Yes","NA","4.TRBO"
"4","VAME","No","NA","Yes","NA","Yes","4.VAME"
"4","VASI","NA","No","NA","NA","No","4.VASI"
"5","ACCI","NA","No","NA","NA","No","5.ACCI"
"5","ACGL","NA","No","NA","NA","No","5.ACGL"
"5","ACMI","No","NA","NA","NA","No","5.ACMI"
"5","AMAL","NA","Yes","NA","NA","No","5.AMAL"
"5","ARUV","No","NA","NA","NA","No","5.ARUV"
"5","ATFI","NA","No","NA","NA","No","5.ATFI"
"5","CAME","NA","No","NA","Yes","NA","5.CAME"
"5","CARU","Yes","NA","NA","NA","No","5.CARU"
"5","CEVE","No","NA","NA","NA","No","5.CEVE"
"5","CHUM","NA","No","NA","NA","No","5.CHUM"
"5","CLUN","NA","No","NA","NA","No","5.CLUN"
"5","COCA","NA","No","NA","NA","No","5.COCA"
"5","EPAN","No","NA","NA","NA","No","5.EPAN"
"5","GAOV","NA","No","NA","NA","No","5.GAOV"
"5","GASH","NA","No","NA","NA","No","5.GASH"
"5","GOOB","NA","No","NA","NA","No","5.GOOB"
"5","GYDR","NA","No","NA","NA","No","5.GYDR"
"5","HIAL","NA","No","NA","NA","No","5.HIAL"
"5","HODI","NA","No","Yes","NA","No","5.HODI"
"5","LIBO","NA","No","NA","NA","No","5.LIBO"
"5","MANE","NA","No","NA","NA","No","5.MANE"
"5","MEFE","NA","No","NA","NA","No","5.MEFE"
"5","OPHO","NA","No","NA","NA","No","5.OPHO"
"5","PAMY","No","NA","NA","NA","Yes","5.PAMY"
"5","POMU","NA","No","NA","NA","No","5.POMU"
"5","PTAQ","NA","No","NA","NA","No","5.PTAQ"
"5","RULA","NA","No","NA","NA","No","5.RULA"
"5","RUPA","NA","No","NA","NA","No","5.RUPA"
"5","RUPE","NA","No","NA","NA","No","5.RUPE"
"5","RUSP","NA","No","NA","NA","No","5.RUSP"
"5","SOSI","NA","No","NA","NA","No","5.SOSI"
"5","SPBE","NA","No","NA","NA","No","5.SPBE"
"5","TITR","NA","No","NA","NA","No","5.TITR"
"5","TRBO","NA","No","NA","Yes","NA","5.TRBO"
"5","VAME","No","NA","Yes","NA","Yes","5.VAME"
"5","VASI","NA","No","NA","NA","No","5.VASI"
"6","ACCI","NA","No","NA","NA","No","6.ACCI"
"6","ACGL","NA","No","NA","NA","No","6.ACGL"
"6","ACMI","No","NA","NA","NA","No","6.ACMI"
"6","AMAL","NA","No","NA","NA","No","6.AMAL"
"6","ARUV","No","NA","NA","NA","No","6.ARUV"
"6","ATFI","NA","No","NA","NA","No","6.ATFI"
"6","CAME","NA","No","NA","NA","No","6.CAME"
"6","CARU","No","NA","NA","NA","No","6.CARU"
"6","CEVE","No","NA","NA","NA","No","6.CEVE"
"6","CHUM","NA","No","NA","NA","No","6.CHUM"
"6","CLUN","NA","No","NA","NA","No","6.CLUN"
"6","COCA","NA","No","NA","NA","No","6.COCA"
"6","EPAN","No","NA","NA","NA","Yes","6.EPAN"
"6","GAOV","NA","No","NA","NA","No","6.GAOV"
"6","GASH","NA","No","NA","NA","No","6.GASH"
"6","GOOB","NA","No","NA","NA","No","6.GOOB"
"6","GYDR","NA","No","NA","NA","No","6.GYDR"
"6","HIAL","NA","No","NA","NA","No","6.HIAL"
"6","HODI","NA","No","Yes","NA","No","6.HODI"
"6","LIBO","NA","No","NA","NA","No","6.LIBO"
"6","MANE","NA","No","NA","NA","No","6.MANE"
"6","MEFE","NA","No","NA","NA","Yes","6.MEFE"
"6","OPHO","NA","No","NA","NA","Yes","6.OPHO"
"6","PAMY","No","NA","NA","NA","Yes","6.PAMY"
"6","POMU","NA","No","NA","NA","No","6.POMU"
"6","PTAQ","NA","No","NA","NA","No","6.PTAQ"
"6","RULA","NA","No","NA","NA","No","6.RULA"
"6","RUPA","NA","No","NA","NA","No","6.RUPA"
"6","RUPE","NA","No","NA","NA","No","6.RUPE"
"6","RUSP","NA","No","NA","NA","No","6.RUSP"
"6","SOSI","NA","No","NA","NA","No","6.SOSI"
"6","SPBE","NA","Yes","NA","NA","No","6.SPBE"
"6","TITR","NA","No","NA","NA","No","6.TITR"
"6","TRBO","NA","No","NA","NA","No","6.TRBO"
"6","VAME","No","NA","Yes","NA","Yes","6.VAME"
"6","VASI","NA","No","NA","NA","No","6.VASI"
"7","ACCI","NA","No","NA","NA","No","7.ACCI"
"7","ACGL","NA","No","NA","NA","No","7.ACGL"
"7","ACMI","No","NA","NA","NA","No","7.ACMI"
"7","AMAL","NA","Yes","NA","NA","No","7.AMAL"
"7","ARUV","No","NA","NA","NA","No","7.ARUV"
"7","ATFI","NA","No","NA","NA","No","7.ATFI"
"7","CAME","NA","No","NA","NA","No","7.CAME"
"7","CARU","Yes","NA","NA","NA","No","7.CARU"
"7","CEVE","No","NA","NA","NA","Yes","7.CEVE"
"7","CHUM","NA","No","NA","NA","No","7.CHUM"
"7","CLUN","NA","No","NA","NA","No","7.CLUN"
"7","COCA","NA","No","NA","NA","No","7.COCA"
"7","EPAN","No","NA","NA","NA","Yes","7.EPAN"
"7","GAOV","NA","No","NA","NA","No","7.GAOV"
"7","GASH","NA","No","NA","NA","No","7.GASH"
"7","GOOB","NA","No","NA","NA","No","7.GOOB"
"7","GYDR","NA","No","NA","NA","No","7.GYDR"
"7","HIAL","NA","No","NA","NA","No","7.HIAL"
"7","HODI","NA","No","Yes","NA","No","7.HODI"
"7","LIBO","NA","No","NA","NA","No","7.LIBO"
"7","MANE","NA","No","NA","NA","No","7.MANE"
"7","MEFE","NA","No","NA","NA","No","7.MEFE"
"7","OPHO","NA","No","NA","NA","No","7.OPHO"
"7","PAMY","No","NA","NA","NA","Yes","7.PAMY"
"7","POMU","NA","No","NA","NA","No","7.POMU"
"7","PTAQ","NA","No","NA","NA","No","7.PTAQ"
"7","RULA","NA","No","NA","NA","No","7.RULA"
"7","RUPA","NA","No","NA","NA","No","7.RUPA"
"7","RUPE","NA","No","NA","NA","No","7.RUPE"
"7","RUSP","NA","No","NA","NA","No","7.RUSP"
"7","SOSI","NA","No","NA","NA","No","7.SOSI"
"7","SPBE","NA","No","NA","NA","No","7.SPBE"
"7","TITR","NA","No","NA","NA","No","7.TITR"
"7","TRBO","NA","No","NA","NA","No","7.TRBO"
"7","VAME","No","NA","Yes","NA","Yes","7.VAME"
"7","VASI","NA","No","NA","NA","No","7.VASI"
"8","ACCI","NA","No","NA","NA","No","8.ACCI"
"8","ACGL","NA","No","NA","NA","No","8.ACGL"
"8","ACMI","No","NA","NA","NA","No","8.ACMI"
"8","AMAL","NA","Yes","NA","NA","No","8.AMAL"
"8","ARUV","No","NA","NA","NA","No","8.ARUV"
"8","ATFI","NA","No","NA","NA","No","8.ATFI"
"8","CAME","NA","No","NA","NA","No","8.CAME"
"8","CARU","Yes","NA","NA","NA","Yes","8.CARU"
"8","CEVE","No","NA","NA","NA","Yes","8.CEVE"
"8","CHUM","NA","No","NA","NA","No","8.CHUM"
"8","CLUN","NA","No","NA","NA","No","8.CLUN"
"8","COCA","NA","No","NA","NA","No","8.COCA"
"8","EPAN","No","NA","NA","NA","Yes","8.EPAN"
"8","GAOV","NA","No","NA","NA","No","8.GAOV"
"8","GASH","NA","No","NA","NA","No","8.GASH"
"8","GOOB","NA","No","NA","NA","No","8.GOOB"
"8","GYDR","NA","No","NA","NA","No","8.GYDR"
"8","HIAL","NA","No","NA","NA","No","8.HIAL"
"8","HODI","NA","No","Yes","NA","No","8.HODI"
"8","LIBO","NA","No","NA","NA","No","8.LIBO"
"8","MANE","NA","No","NA","NA","No","8.MANE"
"8","MEFE","NA","No","NA","NA","No","8.MEFE"
"8","OPHO","NA","No","NA","NA","No","8.OPHO"
"8","PAMY","No","NA","NA","NA","Yes","8.PAMY"
"8","POMU","NA","No","NA","NA","No","8.POMU"
"8","PTAQ","NA","No","NA","NA","No","8.PTAQ"
"8","RULA","NA","No","NA","NA","No","8.RULA"
"8","RUPA","NA","No","NA","NA","No","8.RUPA"
"8","RUPE","NA","No","NA","NA","No","8.RUPE"
"8","RUSP","NA","No","NA","NA","No","8.RUSP"
"8","SOSI","NA","No","NA","NA","No","8.SOSI"
"8","SPBE","NA","Yes","NA","NA","No","8.SPBE"
"8","TITR","NA","No","NA","NA","No","8.TITR"
"8","TRBO","NA","No","NA","Yes","NA","8.TRBO"
"8","VAME","No","NA","Yes","NA","Yes","8.VAME"
"8","VASI","NA","No","NA","NA","No","8.VASI"
"9","ACCI","NA","No","NA","NA","No","9.ACCI"
"9","ACGL","NA","No","NA","NA","No","9.ACGL"
"9","ACMI","No","NA","NA","NA","No","9.ACMI"
"9","AMAL","NA","No","NA","NA","No","9.AMAL"
"9","ARUV","Yes","NA","NA","NA","No","9.ARUV"
"9","ATFI","NA","No","NA","NA","No","9.ATFI"
"9","CAME","NA","No","NA","NA","No","9.CAME"
"9","CARU","No","NA","NA","NA","Yes","9.CARU"
"9","CEVE","No","NA","NA","NA","Yes","9.CEVE"
"9","CHUM","NA","No","NA","NA","No","9.CHUM"
"9","CLUN","NA","No","NA","NA","No","9.CLUN"
"9","COCA","NA","No","NA","NA","No","9.COCA"
"9","EPAN","No","NA","NA","NA","Yes","9.EPAN"
"9","GAOV","NA","No","NA","NA","No","9.GAOV"
"9","GASH","NA","No","NA","NA","No","9.GASH"
"9","GOOB","NA","No","NA","NA","No","9.GOOB"
"9","GYDR","NA","No","NA","NA","No","9.GYDR"
"9","HIAL","NA","No","NA","NA","No","9.HIAL"
"9","HODI","NA","No","Yes","NA","No","9.HODI"
"9","LIBO","NA","No","NA","NA","No","9.LIBO"
"9","MANE","NA","No","NA","NA","No","9.MANE"
"9","MEFE","NA","No","NA","NA","No","9.MEFE"
"9","OPHO","NA","No","NA","NA","Yes","9.OPHO"
"9","PAMY","No","NA","NA","NA","Yes","9.PAMY"
"9","POMU","NA","No","NA","NA","No","9.POMU"
"9","PTAQ","NA","No","NA","NA","No","9.PTAQ"
"9","RULA","NA","No","NA","NA","No","9.RULA"
"9","RUPA","NA","No","NA","NA","No","9.RUPA"
"9","RUPE","NA","No","NA","NA","No","9.RUPE"
"9","RUSP","NA","No","NA","NA","No","9.RUSP"
"9","SOSI","NA","No","NA","NA","No","9.SOSI"
"9","SPBE","NA","No","NA","NA","No","9.SPBE"
"9","TITR","NA","No","NA","NA","No","9.TITR"
"9","TRBO","NA","No","NA","Yes","NA","9.TRBO"
"9","VAME","No","NA","Yes","NA","Yes","9.VAME"
"9","VASI","NA","No","NA","NA","No","9.VASI"
"10","ACCI","NA","No","NA","NA","No","10.ACCI"
"10","ACGL","NA","No","NA","NA","No","10.ACGL"
"10","ACMI","No","NA","NA","NA","No","10.ACMI"
"10","AMAL","NA","Yes","NA","NA","No","10.AMAL"
"10","ARUV","No","NA","NA","NA","No","10.ARUV"
"10","ATFI","NA","No","NA","NA","No","10.ATFI"
"10","CAME","NA","No","NA","Yes","NA","10.CAME"
"10","CARU","No","NA","NA","NA","No","10.CARU"
"10","CEVE","No","NA","NA","NA","No","10.CEVE"
"10","CHUM","NA","No","NA","NA","No","10.CHUM"
"10","CLUN","NA","No","NA","NA","No","10.CLUN"
"10","COCA","NA","No","NA","NA","No","10.COCA"
"10","EPAN","No","NA","NA","NA","Yes","10.EPAN"
"10","GAOV","NA","No","NA","NA","No","10.GAOV"
"10","GASH","NA","No","NA","NA","No","10.GASH"
"10","GOOB","NA","No","NA","NA","No","10.GOOB"
"10","GYDR","NA","No","NA","NA","No","10.GYDR"
"10","HIAL","NA","No","NA","NA","No","10.HIAL"
"10","HODI","NA","No","Yes","NA","No","10.HODI"
"10","LIBO","NA","No","NA","NA","No","10.LIBO"
"10","MANE","NA","No","NA","NA","No","10.MANE"
"10","MEFE","NA","No","NA","NA","No","10.MEFE"
"10","OPHO","NA","No","NA","NA","No","10.OPHO"
"10","PAMY","No","NA","NA","NA","Yes","10.PAMY"
"10","POMU","NA","No","NA","NA","No","10.POMU"
"10","PTAQ","NA","No","NA","NA","No","10.PTAQ"
"10","RULA","NA","No","NA","NA","No","10.RULA"
"10","RUPA","NA","No","NA","NA","No","10.RUPA"
"10","RUPE","NA","No","NA","NA","No","10.RUPE"
"10","RUSP","NA","No","NA","NA","No","10.RUSP"
"10","SOSI","NA","No","NA","NA","No","10.SOSI"
"10","SPBE","NA","No","NA","NA","No","10.SPBE"
"10","TITR","NA","No","NA","NA","No","10.TITR"
"10","TRBO","NA","No","NA","NA","No","10.TRBO"
"10","VAME","No","NA","Yes","NA","Yes","10.VAME"
"10","VASI","NA","No","NA","NA","No","10.VASI"
"11","ACCI","NA","No","NA","NA","No","11.ACCI"
"11","ACGL","NA","No","NA","NA","No","11.ACGL"
"11","ACMI","No","NA","NA","NA","No","11.ACMI"
"11","AMAL","NA","No","NA","NA","No","11.AMAL"
"11","ARUV","No","NA","NA","NA","No","11.ARUV"
"11","ATFI","NA","No","NA","NA","No","11.ATFI"
"11","CAME","NA","No","NA","NA","No","11.CAME"
"11","CARU","Yes","NA","NA","NA","Yes","11.CARU"
"11","CEVE","No","NA","NA","NA","No","11.CEVE"
"11","CHUM","NA","No","NA","NA","No","11.CHUM"
"11","CLUN","NA","No","NA","NA","No","11.CLUN"
"11","COCA","NA","No","NA","NA","No","11.COCA"
"11","EPAN","No","NA","NA","NA","No","11.EPAN"
"11","GAOV","NA","No","NA","NA","No","11.GAOV"
"11","GASH","NA","No","NA","NA","No","11.GASH"
"11","GOOB","NA","No","NA","NA","No","11.GOOB"
"11","GYDR","NA","No","NA","NA","No","11.GYDR"
"11","HIAL","NA","No","NA","NA","No","11.HIAL"
"11","HODI","NA","No","Yes","NA","No","11.HODI"
"11","LIBO","NA","No","NA","NA","No","11.LIBO"
"11","MANE","NA","No","NA","NA","No","11.MANE"
"11","MEFE","NA","No","NA","NA","No","11.MEFE"
"11","OPHO","NA","No","NA","NA","Yes","11.OPHO"
"11","PAMY","No","NA","NA","NA","Yes","11.PAMY"
"11","POMU","NA","No","NA","NA","No","11.POMU"
"11","PTAQ","NA","No","NA","NA","No","11.PTAQ"
"11","RULA","NA","No","NA","NA","No","11.RULA"
"11","RUPA","NA","No","NA","NA","No","11.RUPA"
"11","RUPE","NA","No","NA","NA","No","11.RUPE"
"11","RUSP","NA","No","NA","NA","No","11.RUSP"
"11","SOSI","NA","No","NA","NA","No","11.SOSI"
"11","SPBE","NA","No","NA","NA","No","11.SPBE"
"11","TITR","NA","No","NA","NA","No","11.TITR"
"11","TRBO","NA","No","NA","NA","No","11.TRBO"
"11","VAME","No","NA","Yes","NA","Yes","11.VAME"
"11","VASI","NA","No","NA","NA","No","11.VASI"
"12","ACCI","NA","No","NA","NA","No","12.ACCI"
"12","ACGL","NA","No","NA","NA","No","12.ACGL"
"12","ACMI","No","NA","NA","NA","No","12.ACMI"
"12","AMAL","NA","No","NA","NA","No","12.AMAL"
"12","ARUV","No","NA","NA","NA","No","12.ARUV"
"12","ATFI","NA","No","NA","NA","No","12.ATFI"
"12","CAME","NA","No","NA","Yes","NA","12.CAME"
"12","CARU","No","NA","NA","NA","No","12.CARU"
"12","CEVE","No","NA","NA","NA","No","12.CEVE"
"12","CHUM","NA","No","NA","NA","No","12.CHUM"
"12","CLUN","NA","No","NA","NA","No","12.CLUN"
"12","COCA","NA","No","NA","NA","No","12.COCA"
"12","EPAN","No","NA","NA","NA","No","12.EPAN"
"12","GAOV","NA","No","NA","NA","No","12.GAOV"
"12","GASH","NA","No","NA","NA","No","12.GASH"
"12","GOOB","NA","No","NA","NA","No","12.GOOB"
"12","GYDR","NA","No","NA","NA","No","12.GYDR"
"12","HIAL","NA","No","NA","NA","No","12.HIAL"
"12","HODI","NA","No","Yes","NA","No","12.HODI"
"12","LIBO","NA","No","NA","NA","No","12.LIBO"
"12","MANE","NA","No","NA","NA","No","12.MANE"
"12","MEFE","NA","No","NA","NA","No","12.MEFE"
"12","OPHO","NA","No","NA","NA","No","12.OPHO"
"12","PAMY","No","NA","NA","NA","Yes","12.PAMY"
"12","POMU","NA","No","NA","NA","No","12.POMU"
"12","PTAQ","NA","No","NA","NA","No","12.PTAQ"
"12","RULA","NA","No","NA","NA","No","12.RULA"
"12","RUPA","NA","No","NA","NA","No","12.RUPA"
"12","RUPE","NA","No","NA","NA","No","12.RUPE"
"12","RUSP","NA","No","NA","NA","No","12.RUSP"
"12","SOSI","NA","No","NA","NA","No","12.SOSI"
"12","SPBE","NA","Yes","NA","NA","No","12.SPBE"
"12","TITR","NA","No","NA","NA","No","12.TITR"
"12","TRBO","NA","No","NA","NA","No","12.TRBO"
"12","VAME","No","NA","Yes","NA","Yes","12.VAME"
"12","VASI","NA","No","NA","NA","No","12.VASI"
"13","ACCI","NA","No","NA","NA","No","13.ACCI"
"13","ACGL","NA","No","NA","NA","No","13.ACGL"
"13","ACMI","No","NA","NA","NA","No","13.ACMI"
"13","AMAL","NA","No","NA","NA","No","13.AMAL"
"13","ARUV","No","NA","NA","NA","No","13.ARUV"
"13","ATFI","NA","No","NA","NA","No","13.ATFI"
"13","CAME","NA","No","NA","NA","No","13.CAME"
"13","CARU","No","NA","NA","NA","No","13.CARU"
"13","CEVE","No","NA","NA","NA","No","13.CEVE"
"13","CHUM","NA","No","NA","NA","No","13.CHUM"
"13","CLUN","NA","No","NA","NA","No","13.CLUN"
"13","COCA","NA","No","NA","NA","No","13.COCA"
"13","EPAN","No","NA","NA","NA","Yes","13.EPAN"
"13","GAOV","NA","No","NA","NA","No","13.GAOV"
"13","GASH","NA","No","NA","NA","No","13.GASH"
"13","GOOB","NA","No","NA","NA","No","13.GOOB"
"13","GYDR","NA","No","NA","NA","No","13.GYDR"
"13","HIAL","NA","No","NA","NA","No","13.HIAL"
"13","HODI","NA","No","Yes","NA","No","13.HODI"
"13","LIBO","NA","No","NA","NA","No","13.LIBO"
"13","MANE","NA","No","NA","NA","No","13.MANE"
"13","MEFE","NA","No","NA","NA","No","13.MEFE"
"13","OPHO","NA","No","NA","NA","Yes","13.OPHO"
"13","PAMY","No","NA","NA","NA","Yes","13.PAMY"
"13","POMU","NA","No","NA","NA","No","13.POMU"
"13","PTAQ","NA","No","NA","NA","No","13.PTAQ"
"13","RULA","NA","No","NA","NA","No","13.RULA"
"13","RUPA","NA","No","NA","NA","No","13.RUPA"
"13","RUPE","NA","No","NA","NA","No","13.RUPE"
"13","RUSP","NA","No","NA","NA","No","13.RUSP"
"13","SOSI","NA","No","NA","NA","No","13.SOSI"
"13","SPBE","NA","Yes","NA","NA","No","13.SPBE"
"13","TITR","NA","No","NA","NA","No","13.TITR"
"13","TRBO","NA","No","NA","NA","No","13.TRBO"
"13","VAME","No","NA","Yes","NA","Yes","13.VAME"
"13","VASI","NA","No","NA","NA","No","13.VASI"
"14","ACCI","NA","No","NA","NA","No","14.ACCI"
"14","ACGL","NA","No","NA","NA","No","14.ACGL"
"14","ACMI","No","NA","NA","NA","No","14.ACMI"
"14","AMAL","NA","No","NA","NA","No","14.AMAL"
"14","ARUV","No","NA","NA","NA","No","14.ARUV"
"14","ATFI","NA","No","NA","NA","No","14.ATFI"
"14","CAME","NA","No","NA","NA","No","14.CAME"
"14","CARU","No","NA","NA","NA","Yes","14.CARU"
"14","CEVE","No","NA","NA","NA","No","14.CEVE"
"14","CHUM","NA","No","NA","NA","No","14.CHUM"
"14","CLUN","NA","No","NA","NA","No","14.CLUN"
"14","COCA","NA","No","NA","NA","No","14.COCA"
"14","EPAN","No","NA","NA","NA","No","14.EPAN"
